Date,Open,High,Low,Close,Volume,Price_Change,Price_Change_Abs,MA_5,MA_10,MA_20,MA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volatility_5,Volatility_20,Volume_MA_5,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_MA,News_Sentiment,News_Sentiment_Pos,News_Sentiment_Neg,News_Count,Wiki_Views,Wiki_Views_MA_7,Wiki_Views_Change,Ticker,Target,Target_Return,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,Close_Lag_10,Return_Lag_10,Close_Diff_1,Close_Diff_5,OC_Gap_Lag_1,HL_Range_Lag_1,Price_vs_MA5_Lag_1,Price_vs_MA20_Lag_1,Volume_Lag_1,Volume_Lag_2,Volume_Lag_3,Volume_Lag_5,Volume_Change_Lag_1,Volume_MA_Ratio_Lag_1,RSI_Lag_1,RSI_Lag_5,RSI_Change,RSI_Oversold_Lag_1,RSI_Overbought_Lag_1,MACD_Lag_1,MACD_Signal_Lag_1,MACD_Hist_Lag_1,BB_Position_Lag_1,Volatility_Lag_1,Volatility_Lag_5,News_Sentiment_Lag_1,News_Sentiment_Lag_3,News_Sentiment_MA_5,News_Sentiment_Trend,Wiki_Views_Lag_1,Wiki_Views_Lag_7,Wiki_Views_Change_Lag_1,Wiki_Attention_Spike,Combined_Sentiment,DayOfWeek,Month,Quarter,WeekOfYear,Is_Monday,Is_Friday,Is_MonthStart,Is_MonthEnd,Sentiment_Volatility_Interaction,Sentiment_Volume_Interaction
2021-02-12,267.08667,272.443329,261.776672,272.040009,71304900,0.005495,1.486664,276.365338,280.499667,281.413167,,278.32747,279.143631,-0.81616,0.882326,38.335018,281.413167,297.531027,265.295306,0.114549,0.027165,,70155960.0,75418935.0,0.945451,0.03921,0.036335,0.267867,0.094238,0.033286,21,17421,20102.0,-0.052331,TSLA,265.406677,-0.024384,270.553345,0.005495,268.273346,0.01404,283.15332,-0.039248,284.07666,-0.042371,264.51001,0.028468,2.279999,-12.776642,-0.00096,0.034682,-0.029484,,64868400.0,108648300.0,45473100.0,55699800.0,-0.402951,0.96768,44.301832,54.980704,0.957996,0,0,-0.241275,1.306948,-1.548223,,0.02683,0.032848,0.267867,0.267867,0.267867,0.0,18383.0,18265.0,-0.056798,,0.267867,4,2,1,6,0,1,0,0,0.007187,-0.107937
2021-02-16,272.666656,273.666656,264.146667,265.406677,59406900,-0.024384,-6.633331,271.885339,279.046667,280.914168,,276.339656,278.126079,-1.786423,0.348576,35.26878,280.914168,298.379259,263.449077,0.124345,0.024841,0.028622,69940320.0,72572640.0,0.818585,0.035869,0.034392,0.267867,0.094238,0.033286,21,14625,16491.142857,-0.063161,TSLA,266.049988,0.002424,272.040009,-0.024384,270.553345,-0.019023,268.273346,-0.010686,287.806671,-0.07783,279.936676,-0.051905,1.486664,-12.036652,0.018546,0.03921,-0.015651,-0.033307,71304900.0,64868400.0,108648300.0,60485100.0,0.099224,1.016377,38.335018,53.707127,-5.966815,0,0,-0.81616,0.882326,-1.698486,0.209231,0.027165,0.02245,0.267867,0.267867,0.267867,0.0,17421.0,15935.0,-0.052331,,0.267867,1,2,1,7,0,0,0,0,0.007277,0.026579
2021-02-17,259.696655,266.613342,254.003326,266.049988,77989500,0.002424,0.643311,268.464673,276.558667,280.140834,,274.75663,277.231553,-2.474923,-0.216124,38.121272,280.140834,298.821021,261.460647,0.133363,0.026134,0.028096,76443600.0,72667065.0,1.073244,0.047397,0.034743,0.267867,0.094238,0.033286,21,15141,15869.857143,0.035282,TSLA,262.459991,-0.013494,265.406677,0.002424,272.040009,-0.022019,270.553345,-0.016645,283.15332,-0.060403,290.929993,-0.085519,-6.633331,-22.399994,-0.026626,0.035869,-0.023829,-0.055204,59406900.0,71304900.0,64868400.0,45473100.0,-0.166861,0.849394,35.26878,49.811469,-3.066237,0,0,-1.786423,0.348576,-2.134999,0.056043,0.024841,0.013776,0.267867,0.267867,0.267867,0.0,14625.0,14254.0,-0.160496,,0.267867,2,2,1,7,0,0,0,0,0.006654,-0.044696
2021-02-18,260.299988,264.896667,258.756653,262.459991,53871300,-0.013494,-3.589996,267.302002,274.314999,279.089667,,272.86484,276.137364,-3.272524,-0.827404,40.755701,279.089667,299.282685,258.896649,0.144706,0.014079,0.028107,65488200.0,71510745.0,0.753332,0.023394,0.034155,0.267867,0.094238,0.033286,21,14955,15380.142857,-0.012285,TSLA,260.433319,-0.007722,266.049988,-0.013494,265.406677,-0.011103,272.040009,-0.035215,268.273346,-0.02167,284.896667,-0.078754,0.643311,-17.103333,0.024464,0.047397,-0.008994,-0.050299,77989500.0,59406900.0,71304900.0,108648300.0,0.312802,1.020223,38.121272,43.343836,2.852492,0,0,-2.474923,-0.216124,-2.2588,0.12284,0.026134,0.025245,0.267867,0.267867,0.267867,0.0,15141.0,22796.0,0.035282,,0.267867,3,2,1,7,0,0,0,0,0.007001,0.083789
2021-02-19,265.0,265.59668,259.123322,260.433319,56874900,-0.007722,-2.026672,265.277997,272.025333,278.028166,,270.952298,274.974101,-4.021803,-1.466284,47.270925,278.028166,299.820247,256.236085,0.156762,0.012128,0.028116,63889500.0,71276325.0,0.797949,0.024856,0.033926,0.267867,0.094238,0.033286,21,13850,14870.0,-0.073888,TSLA,238.166672,-0.085498,262.459991,-0.007722,266.049988,-0.021111,265.406677,-0.018739,270.553345,-0.037405,283.329987,-0.080813,-3.589996,-5.813354,0.008298,0.023394,-0.018114,-0.059585,53871300.0,77989500.0,59406900.0,64868400.0,-0.309249,0.822611,40.755701,44.301832,2.634429,0,0,-3.272524,-0.827404,-2.44512,0.088232,0.014079,0.02683,0.267867,0.267867,0.267867,0.0,14955.0,23182.0,-0.012285,,0.267867,4,2,1,7,0,1,0,0,0.003771,-0.082838
2021-02-22,254.213333,256.166656,236.733337,238.166672,111809100,-0.085498,-22.266647,258.503329,267.434334,275.825834,,265.908355,272.247625,-6.339269,-2.440881,24.383645,275.825834,303.849013,247.802655,0.203195,0.034788,0.033502,71990340.0,73856805.0,1.513863,0.081595,0.039058,0.267867,0.094238,0.033286,21,14783,14241.571429,0.118822,TSLA,232.946671,-0.021917,260.433319,-0.085498,262.459991,-0.09256,266.049988,-0.104805,272.040009,-0.124516,284.07666,-0.161611,-2.026672,-10.120026,-0.017233,0.024856,-0.018263,-0.063284,56874900.0,53871300.0,77989500.0,71304900.0,0.055755,0.890207,47.270925,38.335018,6.515224,0,0,-4.021803,-1.466284,-2.555519,0.096302,0.012128,0.027165,0.267867,0.267867,0.267867,0.0,13850.0,19490.0,-0.073888,,0.267867,0,2,1,8,1,0,0,0,0.003249,0.014935
2021-02-23,220.710007,237.869995,206.333328,232.946671,199820700,-0.021917,-5.220001,252.011328,261.948334,272.793167,,260.837327,269.336443,-8.499116,-3.652528,11.730533,272.793167,305.460319,240.126015,0.239501,0.034829,0.031622,100073100.0,77671830.0,2.572628,0.135381,0.04993,0.267867,0.094238,0.033286,21,16398,14494.857143,0.109247,TSLA,247.339996,0.061788,238.166672,-0.021917,260.433319,-0.105542,262.459991,-0.112449,265.406677,-0.122303,287.806671,-0.190614,-22.266647,-33.873337,-0.063123,0.081595,-0.078671,-0.136532,111809100.0,56874900.0,53871300.0,59406900.0,0.965878,1.553113,24.383645,35.26878,-22.88728,1,0,-6.339269,-2.440881,-3.898389,-0.171929,0.034788,0.024841,0.267867,0.267867,0.267867,0.0,14783.0,18383.0,0.067365,,0.267867,1,2,1,8,0,0,0,0,0.009318,0.258726
2021-02-24,237.28334,248.333328,231.389999,247.339996,110301000,0.061788,14.393326,248.26933,258.367001,270.442,,258.760815,267.707077,-8.946262,-4.711275,27.675837,270.442,303.34044,237.54356,0.243294,0.052336,0.035496,106535400.0,79717140.0,1.383655,0.068502,0.054655,0.267867,0.094238,0.033286,21,15563,14555.142857,-0.050921,TSLA,227.406662,-0.080591,232.946671,0.061788,238.166672,0.038516,260.433319,-0.050275,266.049988,-0.070325,283.15332,-0.12648,-5.220001,-32.460007,0.055442,0.135381,-0.07565,-0.146069,199820700.0,111809100.0,56874900.0,77989500.0,0.78716,1.996747,11.730533,38.121272,-12.653112,1,0,-8.499116,-3.652528,-4.846588,-0.109886,0.034829,0.026134,0.267867,0.267867,0.267867,0.0,16398.0,17421.0,0.109247,,0.267867,2,2,1,8,0,0,0,0,0.00933,0.210854
2021-02-25,242.050003,245.736664,223.526672,227.406662,117071700,-0.080591,-19.933334,241.258664,254.280333,267.409666,,253.937099,264.721861,-10.784762,-5.925972,22.715882,267.409666,304.398824,230.420507,0.276648,0.060363,0.038964,119175480.0,81470625.0,1.436981,0.097666,0.058855,0.267867,0.094238,0.033286,21,14215,14449.428571,-0.086616,TSLA,225.166672,-0.00985,247.339996,-0.080591,232.946671,-0.023782,238.166672,-0.045178,262.459991,-0.133557,268.273346,-0.152332,14.393326,-18.709991,0.042382,0.068502,-0.003743,-0.085423,110301000.0,199820700.0,111809100.0,53871300.0,-0.448,1.035346,27.675837,40.755701,15.945303,1,0,-8.946262,-4.711275,-4.234987,0.148889,0.052336,0.014079,0.267867,0.267867,0.267867,0.0,15563.0,14625.0,-0.050921,,0.267867,3,2,1,8,0,0,0,0,0.014019,-0.120004
2021-02-26,233.333328,235.566666,219.83667,225.166672,123267600,-0.00985,-2.23999,234.205334,249.741666,264.744167,,249.510879,261.791847,-12.280967,-7.196971,21.671519,264.744167,305.831582,223.656752,0.310393,0.060202,0.038611,132454020.0,83677305.0,1.473131,0.069859,0.062373,0.267867,0.094238,0.033286,21,14412,14529.714286,0.013859,TSLA,239.476669,0.063553,227.406662,-0.00985,247.339996,-0.089647,232.946671,-0.033398,260.433319,-0.135415,270.553345,-0.167755,-19.933334,-35.053329,-0.060497,0.097666,-0.057416,-0.149594,117071700.0,110301000.0,199820700.0,56874900.0,0.061384,0.982347,22.715882,47.270925,-4.959955,1,0,-10.784762,-5.925972,-4.85879,-0.04074,0.060363,0.012128,0.267867,0.267867,0.267867,0.0,14215.0,15141.0,-0.086616,,0.267867,4,2,1,8,0,1,0,0,0.016169,0.016443
